unique_identifier,listing_amount,amount_funded,lender_yield,borrower_apr,listing_term,listing_monthly_payment,income_range,income_range_description,stated_monthly_income,employment_status_description,occupation,months_employed,borrower_state,borrower_city,prior_prosper_loans,prior_prosper_loans_principal_borrowed,prior_prosper_loans_principal_outstanding,prior_prosper_loans_balance_outstanding,prior_prosper_loans_cycles_billed,prior_prosper_loans_ontime_payments,prior_prosper_loans_late_cycles,prior_prosper_loan_earliest_pay_off,lender_indicator,group_indicator,TUFicoRange,dti_wprosper_loan,CoBorrowerApplication,CombinedDtiwProsperLoan,CombinedStatedMonthlyIncome,prosper_rating
19,12000,12000,0.053,0.0795,36,366.7,6,"$100,000+",16666.6667,Employed,Professional,52,NJ,South Orange,1,20000,0,0,0,0,0,16,0,FALSE,820-850,0.0566,TRUE,0.0566,23750,AA
20,20000,20000,0.1564,0.1903,60,493.19,4,"$50,000-74,999",5000,Self-employed,Construction,388,CA,Lodi,1,10000,0,0,0,0,0,5,0,FALSE,700-719,0.1326,TRUE,0.1326,10416.6667,C
21,25000,25000,0.1115,0.1444,60,558.01,6,"$100,000+",9833.3333,Employed,Engineer - Electrical,90,ME,BATH,2,42500,0,0,0,0,0,10,0,FALSE,700-719,0.1015,TRUE,0.1015,16333.3333,A
22,8000,8000,0.0894,0.135,36,257.91,4,"$50,000-74,999",5666.6667,Employed,Clerical,394,CA,Montclair,3,28200,0,0,0,0,0,16,0,FALSE,740-759,0.1673,TRUE,0.1673,13250,AA
23,11500,11500,0.0864,0.132,36,369.13,4,"$50,000-74,999",4166.6667,Employed,Other,34,MI,PORT HURON,1,10000,0,0,0,0,0,29,0,FALSE,720-739,0.1716,TRUE,0.1716,7500,AA
24,32000,32000,0.0929,0.1254,60,684.48,6,"$100,000+",11250,Employed,Executive,471,TX,NEW BRAUNFELS,1,32000,0,0,0,0,0,7,0,FALSE,800-819,0.3569,TRUE,0.3569,15833.3333,A
25,35000,35000,0.1349,0.1815,36,1204.56,3,"$25,000-49,999",3750,Employed,Other,18,TX,KERRVILLE,1,20000,0,0,0,0,0,31,0,FALSE,720-739,0.2902,TRUE,0.2902,12916.6667,B
26,15000,15000,0.2264,0.2751,36,585.66,6,"$100,000+",8333.3333,Employed,Other,64,CA,santa nella,3,35500,0,0,2,2,0,28,0,FALSE,700-719,0.3202,TRUE,0.3202,11250,D
27,10000,10000,0.0929,0.1254,60,213.9,3,"$25,000-49,999",3416.6667,Other,Accountant/CPA,210,OR,PORTLAND,1,4000,0,0,37,3,68,17,0,FALSE,720-739,0.2284,TRUE,0.2284,5265.6667,A
28,11700,11700,0.0974,0.1431,36,381.6,4,"$50,000-74,999",4333.3333,Other,Clerical,192,CA,FAIRFIELD,1,15000,0,0,1,1,0,15,0,FALSE,720-739,0.3345,TRUE,0.3345,5564.8333,A
29,7000,7000,0.1003,0.1461,36,229.27,3,"$25,000-49,999",3333.3333,Employed,Construction,50,ID,Sagle,2,12000,1662.68,0,0,0,0,28,0,FALSE,740-759,0.2721,TRUE,0.2721,15833.3333,A
30,13000,13000,0.1349,0.1815,36,447.41,3,"$25,000-49,999",2166.6667,Other,Tradesman - Mechanic,40,TN,Maynardville,3,17000,4673.71,0,15,15,0,9,0,FALSE,760-779,0.2665,TRUE,0.2665,4583.3333,B
31,2000,2000,0.0804,0.1258,36,63.64,3,"$25,000-49,999",3833.3333,Other,Construction,167,CA,MORGAN HILL,1,6000,0,0,1,1,0,34,0,FALSE,760-779,0.0837,TRUE,0.0837,7166.6667,AA
32,35000,35000,0.1489,0.1958,36,1228.6,6,"$100,000+",8798.3333,Employed,Teacher,308,TX,HORIZON CITY,1,30000,0,0,0,0,0,7,0,FALSE,680-699,0.312,TRUE,0.312,14145.25,B
33,15500,15500,0.1064,0.1524,36,512.16,5,"$75,000-99,999",6250,Employed,Military Enlisted,76,AZ,Tucson,1,5000,0,0,0,0,0,8,0,FALSE,740-759,0.4423,TRUE,0.4423,12500,A
34,15000,15000,0.1064,0.1524,36,495.64,4,"$50,000-74,999",5416.6667,Employed,Truck Driver,7,TX,Houston,1,10000,0,0,0,0,0,15,0,FALSE,720-739,0.09,TRUE,0.09,10833.3333,A
35,15000,15000,0.1279,0.1611,60,347.39,6,"$100,000+",10416.6667,Employed,Other,374,VA,Herndon,7,89200,12590.49,0,14,14,0,1,0,FALSE,700-719,0.2817,TRUE,0.2817,11742.6667,B
36,6500,6500,0.0804,0.1258,36,206.82,2,"$1-24,999",2000,Other,Engineer - Electrical,3,TX,Smithville,1,6000,0,0,0,0,0,20,0,FALSE,760-779,0.0429,TRUE,0.0429,4816.6667,AA
37,10000,10000,0.0954,0.1411,36,325.21,4,"$50,000-74,999",5416.6667,Employed,Other,182,IL,Rockford,2,11000,0,0,0,0,0,20,0,FALSE,800-819,0.2803,TRUE,0.2803,7916.6667,AA
38,20000,20000,0.0804,0.1258,36,636.37,6,"$100,000+",10416.6667,Employed,Professional,341,AZ,Phoenix,1,15000,0,0,0,0,0,14,0,FALSE,760-779,0.1834,TRUE,0.1834,22500,AA
39,25000,25000,0.0969,0.1294,60,539.7,6,"$100,000+",8333.3333,Employed,Analyst,183,NE,Omaha,3,49000,0,0,1,1,0,14,0,FALSE,740-759,0.1442,TRUE,0.1442,17500,AA
40,11000,11000,0.053,0.0795,36,336.14,3,"$25,000-49,999",2761.1667,Employed,Accountant/CPA,153,TX,GILMER,1,4000,0,0,1,1,0,28,0,FALSE,800-819,0.2234,TRUE,0.2234,12761.1667,AA
41,35000,35000,0.0969,0.1294,60,755.59,5,"$75,000-99,999",8125,Employed,Professor,149,UT,SALT LAKE CITY,25,225601,5141.57,0,0,0,0,9,1,FALSE,760-779,0.0607,TRUE,0.0607,12458.3333,AA
42,5000,5000,0.0804,0.1258,36,159.09,6,"$100,000+",10000,Employed,Truck Driver,84,CA,San Jose,3,27400,0,0,1,1,0,31,0,FALSE,720-739,0.1413,TRUE,0.1413,16708,AA
43,21000,21000,0.0969,0.1294,60,453.35,4,"$50,000-74,999",4506.6667,Employed,Other,76,MO,Imperial,1,18000,0,0,1,1,0,27,0,FALSE,760-779,0.2316,TRUE,0.2316,7886.6667,AA
44,26000,26000,0.1219,0.155,60,594.11,6,"$100,000+",8416.6667,Employed,Professional,153,TN,Murfreesboro,1,24000,0,0,0,0,0,3,0,FALSE,700-719,0.1136,TRUE,0.1136,11666.6667,B
45,8500,8500,0.0804,0.1258,36,270.46,5,"$75,000-99,999",7333.3333,Employed,Professional,42,UT,Eagle Mountain,1,15000,0,0,0,0,0,26,1,FALSE,740-759,0.167,TRUE,0.167,8333.3333,AA
46,3500,3500,0.053,0.0794,36,106.95,4,"$50,000-74,999",4583.3333,Employed,Other,62,IN,ANDERSON,2,41100,0,0,1,1,0,3,0,FALSE,780-799,0.0974,TRUE,0.0974,11750,AA
47,40000,40000,0.053,0.0795,36,1222.32,6,"$100,000+",48065.25,Employed,Executive,98,CA,Lafayette,1,25000,0,0,1,1,0,27,0,FALSE,780-799,0.1886,TRUE,0.1886,77540.9167,AA
48,15775,15775,0.0974,0.1432,36,514.51,4,"$50,000-74,999",5416.6667,Employed,Construction,256,DE,Felton,2,30000,2444.85,0,0,0,0,5,0,FALSE,700-719,0.4287,TRUE,0.4287,12523.3333,A
49,35000,35000,0.0969,0.1294,60,755.59,4,"$50,000-74,999",5833.3333,Employed,Other,22,VA,Virginia Beach,1,20000,0,0,1,1,0,27,0,FALSE,780-799,0.2706,TRUE,0.2706,11666.6667,AA
50,24000,24000,0.1249,0.1713,36,814.33,6,"$100,000+",10416.6667,Employed,Executive,89,CO,Loveland,1,20000,0,0,0,0,0,32,0,FALSE,660-679,0.0929,TRUE,0.0929,31250,B
51,17857,17857,0.1219,0.1682,36,603.31,6,"$100,000+",10000,Employed,Professional,15,CA,Los Angeles,2,19500,0,0,2,2,0,10,0,FALSE,700-719,0.179,TRUE,0.179,24166.6667,B
52,11600,11600,0.0804,0.1258,36,369.09,6,"$100,000+",12083.3333,Employed,Police Officer/Correction Officer,205,NV,Henderson,2,38800,23357.72,0,0,0,0,11,0,FALSE,760-779,0.3003,TRUE,0.3003,16250,AA
53,2500,2500,0.1089,0.1417,60,55.47,5,"$75,000-99,999",8083.3333,Employed,Computer Programmer,219,AR,Sherwood,1,31000,0,0,0,0,0,16,0,FALSE,720-739,0.2369,TRUE,0.2369,12666.6667,A
54,25000,25000,0.1628,0.1969,60,625.08,6,"$100,000+",12500,Employed,Other,69,NC,Lexington,1,20000,0,0,0,0,0,18,0,FALSE,720-739,0.204,TRUE,0.204,17083.3333,C
55,5000,5000,0.1003,0.1461,36,163.76,6,"$100,000+",10000,Employed,Other,495,CA,Glendora,2,15000,0,0,0,0,0,22,0,FALSE,740-759,0.0556,TRUE,0.0556,16416.6667,A
56,35000,35000,0.0929,0.1254,60,748.65,6,"$100,000+",8333.3333,Employed,Professional,51,CO,DURANGO,2,41500,0,0,0,0,0,4,0,FALSE,760-779,0.1748,TRUE,0.1748,15000,A
57,35000,35000,0.1898,0.2376,36,1300.37,6,"$100,000+",9750,Employed,Retail Management,18,NJ,ELIZABETH,2,60000,0,0,0,0,0,7,0,FALSE,720-739,0.3557,TRUE,0.3557,14916.6667,C
58,15000,15000,0.1115,0.1444,60,334.8,3,"$25,000-49,999",2720,Employed,Other,10,GA,Lawrenceville,1,5000,0,0,0,0,0,31,0,FALSE,760-779,0.129,TRUE,0.129,6882.6667,A
59,15000,15000,0.053,0.0795,36,458.37,6,"$100,000+",13005.4167,Employed,Accountant/CPA,26,MT,Bozeman,1,15000,0,0,0,0,0,21,0,FALSE,800-819,0.15,TRUE,0.15,14891.75,AA
60,3000,3000,0.0999,0.1325,60,65.21,2,"$1-24,999",1448.0833,Other,Sales - Commission,38,NE,Omaha,1,4000,0,0,0,0,0,29,0,FALSE,740-759,0.3412,TRUE,0.3412,2424.1667,A
61,18000,18000,0.053,0.0795,36,550.04,4,"$50,000-74,999",5000,Employed,Other,15,NJ,North Bergen,1,15000,0,0,1,1,0,53,0,FALSE,800-819,0.124,TRUE,0.124,19166.6667,AA
62,25000,25000,0.053,0.0795,36,763.95,4,"$50,000-74,999",5000,Employed,Truck Driver,44,CO,LAKEWOOD,1,6000,0,0,1,1,0,28,0,FALSE,780-799,0.2807,TRUE,0.2807,7083.3333,AA
63,25000,25000,0.1628,0.1968,60,625.08,6,"$100,000+",8333.3333,Employed,Other,161,TX,Fort Worth,1,6000,0,0,0,0,0,7,0,FALSE,720-739,0.3945,TRUE,0.3945,10833.3333,C
64,12000,12000,0.2475,0.2837,60,357.51,4,"$50,000-74,999",5812.5,Employed,Teacher,46,AR,Royal,3,62000,0,0,1,1,0,3,0,FALSE,680-699,0.0588,TRUE,0.0588,10479.1667,D
65,15000,15000,0.0999,0.1325,60,326.06,6,"$100,000+",11266.6667,Employed,Computer Programmer,88,NC,Holly Springs,2,35000,0,0,1,1,0,8,0,FALSE,800-819,0.2936,TRUE,0.2936,13100,A
66,35000,35000,0.0964,0.1422,36,1139.9,6,"$100,000+",8833.3333,Employed,Executive,396,FL,Plant City,1,11600,0,0,0,0,0,13,0,FALSE,720-739,0.3201,TRUE,0.3201,13500,A
67,30000,30000,0.1034,0.1493,36,987,4,"$50,000-74,999",4166.6667,Employed,Other,16,MA,Winthrop,1,20000,0,0,1,1,0,20,0,FALSE,800-819,0.1811,TRUE,0.1811,12500,A
68,11000,11000,0.0969,0.1294,60,237.47,5,"$75,000-99,999",7583.3333,Employed,Social Worker,19,GA,Marietta,1,20000,0,0,0,0,0,59,0,FALSE,740-759,0.1143,TRUE,0.1143,15991.6667,AA
69,20000,20000,0.1834,0.218,60,522.56,5,"$75,000-99,999",6666.6667,Employed,Laborer,136,MI,Warren,1,5000,0,0,0,0,0,7,0,FALSE,700-719,0.2206,TRUE,0.2206,11250,C
70,35000,35000,0.1564,0.2034,36,1241.58,6,"$100,000+",9696.1667,Employed,Police Officer/Correction Officer,152,GA,Cumming,1,30000,0,0,0,0,0,23,0,FALSE,700-719,0.3845,TRUE,0.3845,15189.25,C
71,8000,8000,0.2664,0.3031,60,247.35,4,"$50,000-74,999",5000,Employed,Executive,3,FL,Port St Lucie,1,11000,0,0,0,0,0,13,0,FALSE,640-659,0.1267,TRUE,0.1267,11958.3333,D
72,19800,19800,0.0969,0.1294,60,427.45,4,"$50,000-74,999",4750,Employed,Tradesman - Mechanic,49,KS,Lawrence,4,36600,6704.49,0,0,0,0,9,0,FALSE,720-739,0.1355,TRUE,0.1355,11416.6667,AA
73,35000,35000,0.154,0.1878,60,858.59,4,"$50,000-74,999",5416.6667,Employed,Other,125,FL,CORAL SPRINGS,1,15000,0,0,1,1,0,24,0,FALSE,800-819,0.1506,TRUE,0.1506,10083.3333,C
74,12000,12000,0.1349,0.1683,60,282.28,6,"$100,000+",15000,Employed,Executive,187,MO,Bloomsdale,3,74400,11018.52,0,12,12,0,19,0,FALSE,680-699,0.2662,TRUE,0.2662,17500,B
75,28500,28500,0.0909,0.1233,60,606.8,4,"$50,000-74,999",5333.3333,Employed,Retail Management,215,FL,LAUDERDALE HILL,2,15000,6447.19,0,0,0,0,31,0,FALSE,780-799,0.1091,TRUE,0.1091,13083.3333,A
76,5000,5000,0.1489,0.1958,36,175.51,3,"$25,000-49,999",3333.3333,Employed,Other,62,MO,Liberty,2,25000,0,0,0,0,0,9,0,FALSE,720-739,0.2845,TRUE,0.2845,13333.3333,B
77,15000,15000,0.1349,0.1683,60,352.85,6,"$100,000+",13750,Employed,Analyst,230,OR,TRAIL,1,25000,0,0,0,0,0,29,0,FALSE,720-739,0.3471,TRUE,0.3471,16508.3333,B
78,10000,10000,0.1115,0.1444,60,223.2,6,"$100,000+",8333.3333,Other,Executive,40,TX,Maud,1,5000,0,0,0,0,0,5,0,FALSE,780-799,0.028,TRUE,0.028,16666.6667,A
79,20000,20000,0.1279,0.1611,60,463.19,3,"$25,000-49,999",3000,Employed,Other,69,CA,CATHEDRAL CITY,1,15000,0,0,1,1,0,51,0,FALSE,720-739,0.4844,TRUE,0.4844,5916.6667,B
80,8000,8000,0.235,0.2709,60,232.47,4,"$50,000-74,999",4583.3333,Employed,Other,2,MS,Hattiesburg,1,4000,0,0,0,0,0,1,0,FALSE,680-699,0.2374,TRUE,0.2374,8500,D
81,30000,30000,0.1059,0.1386,60,661.13,4,"$50,000-74,999",5366.6667,Employed,Other,51,OH,Milford,1,21700,0,0,0,0,0,14,0,FALSE,800-819,0.1855,TRUE,0.1855,14533.3333,A
82,30000,30000,0.0969,0.1294,60,647.64,6,"$100,000+",9583.3333,Employed,Police Officer/Correction Officer,109,CA,Woodland,2,15000,0,0,0,0,0,1,0,FALSE,740-759,0.2106,TRUE,0.2106,18333.3333,A
83,29500,29500,0.1564,0.1903,60,727.45,4,"$50,000-74,999",4750,Employed,Food Service Management,10,VA,LEESBURG,2,37000,0,0,0,0,0,15,0,FALSE,720-739,0.1841,TRUE,0.1841,9250,C
84,6000,6000,0.0969,0.1426,36,195.55,5,"$75,000-99,999",7500,Employed,Construction,88,MD,Millersville,2,18000,0,0,0,0,0,14,0,FALSE,720-739,0.0653,TRUE,0.0653,11106.6667,A
85,13000,13000,0.1249,0.1713,36,441.1,4,"$50,000-74,999",4780.5,Employed,Tradesman - Carpenter,106,KS,WELLSVILLE,1,5000,0,0,1,1,0,20,0,FALSE,760-779,0.0768,TRUE,0.0768,8247.1667,B
86,15000,15000,0.0954,0.1411,36,487.82,4,"$50,000-74,999",5500,Employed,Truck Driver,52,CA,Bakersfield,1,16000,0,0,6,6,0,26,0,FALSE,720-739,0.2427,TRUE,0.2427,17973.3333,AA
87,32000,32000,0.1249,0.1713,36,1085.77,5,"$75,000-99,999",6875,Employed,Nurse (RN),43,AZ,Phoenix,1,35000,0,0,0,0,0,16,0,FALSE,740-759,0.3837,TRUE,0.3837,13250,B
88,15000,15000,0.2764,0.3263,36,625.65,4,"$50,000-74,999",4583.3333,Employed,Laborer,91,GA,DACULA,1,9000,0,0,0,0,0,26,0,FALSE,660-679,0.2621,TRUE,0.2621,10583.3333,D
89,6000,6000,0.1003,0.1461,36,196.52,5,"$75,000-99,999",7997.9167,Employed,Skilled Labor,20,GA,Valdosta,1,4000,0,0,0,0,0,24,0,FALSE,740-759,0.0871,TRUE,0.0871,10372.9167,A
90,12500,12500,0.1219,0.155,60,285.63,4,"$50,000-74,999",5750,Employed,Clergy,50,KY,Ashland,2,20000,157.35,0,0,0,0,20,0,FALSE,760-779,0.4186,TRUE,0.4186,8250,B
91,9000,9000,0.1249,0.1581,60,207.04,4,"$50,000-74,999",4833.3333,Employed,Nurse (LPN),126,ID,Nampa,2,26000,0,0,0,0,0,4,0,FALSE,800-819,0.5243,TRUE,0.5243,6362.3333,B
92,6000,6000,0.1564,0.2035,36,212.84,6,"$100,000+",8784.5833,Employed,Other,54,TX,Katy,2,18000,8588.98,0,0,0,0,0,0,FALSE,640-659,0.2109,TRUE,0.2109,11951.25,C
93,16000,16000,0.1179,0.1509,60,362.33,6,"$100,000+",15416.6667,Employed,Professional,267,UT,Kaysville,2,40000,0,0,0,0,0,4,0,FALSE,660-679,0.1618,TRUE,0.1618,20833.3333,B
94,20000,20000,0.0929,0.1254,60,427.8,6,"$100,000+",12916.6667,Employed,Scientist,188,MD,MONROVIA,1,19385,0,0,0,0,0,54,0,FALSE,740-759,0.1638,TRUE,0.1638,17916.6667,A
95,20900,20900,0.2129,0.2482,60,580.69,5,"$75,000-99,999",6666.6667,Employed,Administrative Assistant,34,IN,GREENCASTLE,2,25500,13822.79,0,0,0,0,6,0,FALSE,640-659,0.2318,TRUE,0.2318,10000,C
96,30000,30000,0.0969,0.1294,60,647.64,4,"$50,000-74,999",5666.6667,Employed,Teacher,23,IL,Glen Ellyn,1,20000,0,0,1,1,0,10,0,FALSE,800-819,0.0649,TRUE,0.0649,39000,AA
97,26500,26500,0.053,0.0795,36,809.79,5,"$75,000-99,999",8166.6667,Employed,Sales - Retail,248,CA,Lancaster,3,37000,0,0,0,0,0,10,0,FALSE,800-819,0.22,TRUE,0.22,12166.6667,AA
98,15000,15000,0.0804,0.1258,36,477.28,4,"$50,000-74,999",5471,Employed,Other,78,MI,Bronson,1,6000,0,0,1,1,0,26,0,FALSE,720-739,0.1748,TRUE,0.1748,9724.1667,AA
99,10000,10000,0.1034,0.1493,36,329,6,"$100,000+",8358.3333,Employed,Professional,22,MN,Esko,1,8500,0,0,1,1,0,14,0,FALSE,680-699,0.222,TRUE,0.222,14858.3333,A
100,20000,20000,0.1279,0.1611,60,463.19,4,"$50,000-74,999",5166.6667,Employed,Professional,15,WI,Greenville,2,23000,6176.21,0,1,1,0,45,0,FALSE,740-759,0.2416,TRUE,0.2416,8333.3333,B
101,20000,20000,0.0969,0.1294,60,431.76,5,"$75,000-99,999",6250,Employed,Other,179,IL,Waterloo,2,10897.15,0,0,27,26,1,22,0,FALSE,780-799,0.1177,TRUE,0.1177,12500,AA
102,15000,15000,0.0959,0.1416,36,488.17,6,"$100,000+",12500,Employed,Analyst,281,TX,Lucas,2,50000,18450.02,0,10,10,0,28,0,FALSE,700-719,0.2601,TRUE,0.2601,12916.6667,A
103,29500,29500,0.0969,0.1294,60,636.85,3,"$25,000-49,999",3000,Employed,Clerical,86,SC,Seneca,1,11400,0,0,0,0,0,2,0,FALSE,780-799,0.149,TRUE,0.149,10500,AA
104,25000,25000,0.1379,0.1846,36,864.06,6,"$100,000+",14166.6667,Employed,Executive,79,OH,Springfield,2,41000,0,0,0,0,0,16,0,FALSE,660-679,0.3323,TRUE,0.3323,17083.3333,B
105,30000,30000,0.0969,0.1294,60,647.64,6,"$100,000+",9166.6667,Employed,Professional,290,CO,Parker,3,60000,0,0,0,0,0,3,0,FALSE,760-779,0.1966,TRUE,0.1966,18500,AA
106,20000,20000,0.0969,0.1294,60,431.76,5,"$75,000-99,999",7500,Self-employed,Professional,44,NC,Youngsville,1,10000,0,0,1,1,0,7,0,FALSE,720-739,0.12,TRUE,0.12,16666.6667,A
107,11500,11500,0.1349,0.1815,36,395.79,6,"$100,000+",11275,Employed,Executive,21,GA,Alpharetta,4,59500,23419.85,0,2,2,0,8,0,FALSE,680-699,0.4975,TRUE,0.4975,12861,B
108,12000,12000,0.154,0.201,36,424.26,4,"$50,000-74,999",4166.6667,Employed,Professional,61,PA,Reading,3,13800,0,0,0,0,0,4,0,FALSE,700-719,0.2206,TRUE,0.2206,7916.6667,C
109,5800,5800,0.0969,0.1294,60,125.21,4,"$50,000-74,999",5283.3333,Employed,Retail Management,61,MN,WOODBURY,1,8500,0,0,0,0,0,6,0,FALSE,760-779,0.249,TRUE,0.249,7908.3333,AA
110,23000,23000,0.0804,0.1258,36,731.82,4,"$50,000-74,999",4166.6667,Employed,Other,72,AZ,San Tan Valley,1,18000,0,0,0,0,0,23,0,FALSE,740-759,0.1641,TRUE,0.1641,6666.6667,AA
111,35000,35000,0.0969,0.1294,60,755.59,6,"$100,000+",35416.6667,Self-employed,Other,399,NJ,Scotch Plains,1,40000,0,0,0,0,0,13,0,FALSE,760-779,0.2484,TRUE,0.2484,37083.3333,A
112,30000,30000,0.1034,0.1493,36,987,3,"$25,000-49,999",2300,Employed,Teacher,217,FL,Miami Lakes,1,25000,0,0,0,0,0,13,0,FALSE,720-739,0.1627,TRUE,0.1627,9162.5,A
113,15000,15000,0.1564,0.1903,60,369.89,6,"$100,000+",17500,Employed,Sales - Retail,0,SC,Florence,1,9500,0,0,0,0,0,37,0,FALSE,680-699,0.21,TRUE,0.21,20708.3333,C
114,27000,27000,0.0999,0.1325,60,586.91,3,"$25,000-49,999",3541.6667,Employed,Professional,10,AZ,Sun City,1,20000,0,0,0,0,0,30,0,FALSE,800-819,0.1254,TRUE,0.1254,8644.5833,A
115,8500,8500,0.0959,0.1416,36,276.63,5,"$75,000-99,999",7166.6667,Employed,Tradesman - Mechanic,43,AR,Greenbrier,1,15000,0,0,0,0,0,40,0,FALSE,680-699,0.0366,TRUE,0.0366,9666.6667,A
116,25000,25000,0.2264,0.2751,36,976.1,4,"$50,000-74,999",5570.4167,Employed,Professional,169,AZ,Marana,2,40000,1963.12,0,0,0,0,59,0,FALSE,700-719,0.3853,TRUE,0.3853,10263.5833,D
117,12000,12000,0.1034,0.1493,36,394.8,4,"$50,000-74,999",5000,Employed,Teacher,1,TX,RED OAK,1,5000,0,0,0,0,0,14,0,FALSE,700-719,0.1895,TRUE,0.1895,10000,A
118,8500,8500,0.053,0.0795,36,259.74,2,"$1-24,999",1641.6667,Other,Skilled Labor,24,NV,LAS VEGAS,2,17000,0,0,0,0,0,7,0,FALSE,800-819,0.0598,TRUE,0.0598,5683.3333,AA
119,14000,14000,0.1684,0.2157,36,505.01,5,"$75,000-99,999",6333.3333,Other,Skilled Labor,7,MO,SAINT JOSEPH,4,57000,8705.23,0,1,1,0,17,0,FALSE,700-719,0.524,TRUE,0.524,8500,C
120,10000,10000,0.0959,0.1416,36,325.45,6,"$100,000+",13750,Self-employed,Other,113,MA,South Deerfield,1,11000,0,0,10,10,0,9,0,FALSE,740-759,0.37,TRUE,0.37,14738,A
121,28000,28000,0.0969,0.1294,60,604.47,6,"$100,000+",12500,Employed,Police Officer/Correction Officer,176,PA,Aliquippa,3,62300,0,0,0,0,0,10,0,FALSE,800-819,0.2138,TRUE,0.2138,15833.3333,AA
122,25000,25000,0.0969,0.1294,60,539.7,5,"$75,000-99,999",7166.6667,Employed,Nurse (RN),24,MA,Dennisport,1,14000,0,0,1,1,0,32,0,FALSE,800-819,0.0646,TRUE,0.0646,15500,AA
123,13500,13500,0.0959,0.1416,36,439.36,4,"$50,000-74,999",4916.6667,Employed,Accountant/CPA,8,TX,McAllen,2,44500,0,0,1,1,0,20,0,FALSE,720-739,0.1846,TRUE,0.1846,9750,A
124,15000,15000,0.053,0.0795,36,458.37,5,"$75,000-99,999",6500,Other,Clergy,205,CO,Thornton,2,20000,0,0,0,0,0,1,0,FALSE,800-819,0.2957,TRUE,0.2957,13000,AA
125,35000,35000,0.1279,0.1611,60,810.58,6,"$100,000+",18333.3333,Employed,Other,307,CA,Long Beach,2,32000,0,0,2,2,0,13,0,FALSE,680-699,0.2223,TRUE,0.2223,32083.3333,B
126,35000,35000,0.0894,0.135,36,1128.37,5,"$75,000-99,999",6666.6667,Employed,Police Officer/Correction Officer,143,CO,Parachute,1,25000,0,0,1,1,0,51,0,FALSE,780-799,0.2532,TRUE,0.2532,14166.6667,AA
127,10000,10000,0.1089,0.1417,60,221.89,6,"$100,000+",14458.3333,Employed,Other,112,TX,Henrietta,3,25000,1575.87,0,14,14,0,51,0,FALSE,700-719,0.0977,TRUE,0.0977,19541.6667,A
128,15500,15500,0.0864,0.132,36,497.53,5,"$75,000-99,999",6500,Employed,Other,1,TX,San Antonio,1,10000,0,0,0,0,0,10,0,FALSE,740-759,0.1828,TRUE,0.1828,16916.6667,AA
129,13000,13000,0.053,0.0795,36,397.25,4,"$50,000-74,999",5833.3333,Other,Executive,89,SC,Charleston,2,39000,0,0,2,2,0,24,0,FALSE,800-819,0.0923,TRUE,0.0923,11166.6667,AA
130,15000,15000,0.1279,0.1611,60,347.39,6,"$100,000+",8500,Employed,Food Service Management,57,GA,Hampton,1,12141,0,0,0,0,0,12,0,FALSE,720-739,0.4977,TRUE,0.4977,10333.3333,B
131,8000,8000,0.0969,0.1294,60,172.71,4,"$50,000-74,999",5416.6667,Employed,Administrative Assistant,6,DE,Middletown,1,7000,0,0,0,0,0,0,0,FALSE,740-759,0.1138,TRUE,0.1138,11250,A
132,10000,10000,0.1003,0.1461,36,327.53,5,"$75,000-99,999",6666.6667,Employed,Tradesman - Mechanic,46,IL,Ashkum,3,40000,0,0,0,0,0,3,0,FALSE,780-799,0.431,TRUE,0.431,8750,A
133,35000,35000,0.0954,0.1411,36,1138.25,5,"$75,000-99,999",6666.6667,Employed,Architect,7,MN,WOODBURY,1,11000,0,0,12,12,0,2,1,FALSE,720-739,0.276,TRUE,0.276,17500,AA
134,12000,12000,0.1349,0.1815,36,412.99,5,"$75,000-99,999",6952.9167,Employed,Tradesman - Electrician,22,LA,Eunice,2,38000,0,0,0,0,0,12,0,FALSE,680-699,0.2785,TRUE,0.2785,10702.9167,B
135,11000,11000,0.1439,0.1775,60,263.95,3,"$25,000-49,999",3981.5,Employed,Analyst,174,GA,Columbus,2,11200,4745.7,0,0,0,0,22,0,FALSE,760-779,0.2402,TRUE,0.2402,7448.1667,B
136,9000,9000,0.053,0.0795,36,275.02,6,"$100,000+",9213.9167,Employed,Other,69,SC,SPARTANBURG,1,18000,0,0,1,1,0,4,0,FALSE,780-799,0.0846,TRUE,0.0846,12680.5833,AA
137,35000,35000,0.1089,0.1417,60,776.61,4,"$50,000-74,999",5120.6667,Employed,Teacher,78,TX,BURLESON,1,15000,0,0,1,1,0,31,0,FALSE,760-779,0.2056,TRUE,0.2056,14204.6667,A
138,34000,34000,0.0974,0.1432,36,1108.93,4,"$50,000-74,999",4800,Employed,Food Service,4,OR,BEAVERTON,1,10000,0,0,0,0,0,7,0,FALSE,700-719,0.2067,TRUE,0.2067,8550,A
139,35000,35000,0.154,0.1878,60,858.59,5,"$75,000-99,999",7500,Employed,Teacher,301,MI,Armada,1,10000,0,0,0,0,0,35,0,FALSE,740-759,0.1034,TRUE,0.1034,13416.6667,C
140,25000,25000,0.1219,0.155,60,571.26,6,"$100,000+",12500,Employed,Principal,53,MA,Raynham,2,40000,0,0,1,1,0,18,0,FALSE,660-679,0.209,TRUE,0.209,20666.6667,B
141,10000,10000,0.1064,0.1523,36,330.43,3,"$25,000-49,999",3920,Employed,Clerical,73,CA,Lake Elsinore,1,2000,0,0,1,1,0,32,0,FALSE,700-719,0.0887,TRUE,0.0887,6836.6667,A
