unique_identifier,listing_amount,amount_funded,lender_yield,borrower_apr,listing_term,listing_monthly_payment,income_range,income_range_description,stated_monthly_income,employment_status_description,occupation,months_employed,borrower_state,borrower_city,prior_prosper_loans,prior_prosper_loans_principal_borrowed,prior_prosper_loans_principal_outstanding,prior_prosper_loans_balance_outstanding,prior_prosper_loans_cycles_billed,prior_prosper_loans_ontime_payments,prior_prosper_loans_late_cycles,prior_prosper_loan_earliest_pay_off,lender_indicator,group_indicator,TUFicoRange,dti_wprosper_loan,CoBorrowerApplication,CombinedDtiwProsperLoan,CombinedStatedMonthlyIncome,prosper_rating
595,35000,35000,0.0804,0.1258,36,1113.64,4,"$50,000-74,999",5833.3333,Employed,Religious,162,MN,Minneapolis,1,35000,0,0,0,0,0,8,0,FALSE,760-779,0.2151,TRUE,0.2151,14159.0833,AA
596,15000,15000,0.2564,0.2928,60,454.81,6,"$100,000+",8916.6667,Employed,Professional,81,TX,Campbell,2,15500,1041.87,0,0,0,0,35,0,FALSE,700-719,0.2194,TRUE,0.2194,16416.6667,D
597,20000,20000,0.1034,0.1493,36,658,6,"$100,000+",8333.3333,Employed,Food Service Management,120,NY,Middle Island,1,35000,0,0,0,0,0,13,0,FALSE,760-779,0.3298,TRUE,0.3298,16666.6667,A
598,12000,12000,0.0804,0.1258,36,381.82,4,"$50,000-74,999",4333.3333,Other,Tradesman - Mechanic,6,NV,Las Vegas,3,63800,0,0,1,1,0,4,0,FALSE,760-779,0.0478,TRUE,0.0478,9333.3333,AA
599,10000,10000,0.1279,0.1743,36,340.76,4,"$50,000-74,999",4246.6667,Employed,Other,4,CA,Lancaster,1,5000,0,0,0,0,0,6,0,FALSE,700-719,0.2,TRUE,0.2,5746.6667,B
600,14000,14000,0.1279,0.1743,36,477.06,3,"$25,000-49,999",3333.3333,Employed,Other,63,WA,Oak Harbor,2,11500,0,0,1,1,0,16,0,FALSE,780-799,0.2001,TRUE,0.2001,10000,B
601,15000,15000,0.1628,0.21,36,536.88,3,"$25,000-49,999",3083.3333,Employed,Clerical,252,SC,Lexington,1,6000,0,0,1,1,0,5,0,FALSE,700-719,0.3824,TRUE,0.3824,9333.3333,C
602,10000,10000,0.0969,0.1426,36,325.92,5,"$75,000-99,999",7500,Employed,Professional,17,NY,Ithaca,1,20000,0,0,0,0,0,9,0,FALSE,720-739,0.3482,TRUE,0.3482,12916.6667,A
603,15000,15000,0.1564,0.2034,36,532.11,4,"$50,000-74,999",5000,Self-employed,Professional,60,CO,MEEKER,1,8000,0,0,0,0,0,25,0,FALSE,700-719,0.33,TRUE,0.33,10000,C
604,10000,10000,0.0974,0.1431,36,326.16,6,"$100,000+",8333.3333,Employed,Skilled Labor,59,OH,Worthington,1,5000,0,0,0,0,0,14,0,FALSE,760-779,0.1222,TRUE,0.1222,12083.3333,A
605,15000,15000,0.0894,0.135,36,483.59,5,"$75,000-99,999",7916.6667,Employed,Other,209,IL,Lockport,3,34000,0,0,0,0,0,1,0,FALSE,720-739,0.165,TRUE,0.165,14583.3333,AA
606,29000,29000,0.154,0.201,36,1025.29,4,"$50,000-74,999",4768.3333,Employed,Clerical,80,OH,Aurora,1,4000,0,0,0,0,0,17,0,FALSE,700-719,0.3009,TRUE,0.3009,13101.6667,C
607,30000,30000,0.1898,0.2245,60,794.48,3,"$25,000-49,999",3890.25,Employed,Tradesman - Electrician,198,IN,PLAINFIELD,1,9000,0,0,1,1,0,32,0,FALSE,780-799,0.2868,TRUE,0.2868,7215.75,C
608,18000,18000,0.0969,0.1294,60,388.59,5,"$75,000-99,999",8166.6667,Employed,Professional,124,MO,Macon,1,24000,0,0,1,1,0,52,0,FALSE,760-779,0.1722,TRUE,0.1722,11333.3333,AA
609,25000,25000,0.1349,0.1683,60,588.08,6,"$100,000+",10833.3333,Employed,Fireman,29,AL,Odenville,1,7000,0,0,0,0,0,25,0,FALSE,660-679,0.16,TRUE,0.16,12708.3333,B
610,13000,13000,0.1349,0.1815,36,447.41,4,"$50,000-74,999",4333.3333,Employed,Nurse's Aide,105,TX,Katy,1,20000,0,0,0,0,0,7,0,FALSE,740-759,0.3942,TRUE,0.3942,10000,B
611,10000,10000,0.1564,0.2034,36,354.74,6,"$100,000+",9833.3333,Employed,Nurse (RN),1,CO,Fountain,1,10000,0,0,0,0,0,8,0,FALSE,720-739,0.3917,TRUE,0.3917,13291.6667,C
612,25000,25000,0.1089,0.1417,60,554.72,4,"$50,000-74,999",5833.3333,Employed,Other,117,CO,Severance,1,15000,0,0,0,0,0,20,0,FALSE,740-759,0.2028,TRUE,0.2028,11847.1667,A
613,20000,20000,0.0864,0.132,36,641.97,4,"$50,000-74,999",6041.6667,Employed,Truck Driver,17,OH,Steubenville,4,78300,13648.64,0,1,1,0,9,0,FALSE,720-739,0.179,TRUE,0.179,12458.3333,AA
614,15000,15000,0.1439,0.1907,36,522.85,4,"$50,000-74,999",4416.6667,Employed,Other,91,CO,Brighton,2,20000,6214.32,0,0,0,0,11,0,FALSE,700-719,0.2234,TRUE,0.2234,10083.3333,B
615,25000,25000,0.1564,0.2035,36,886.85,6,"$100,000+",9250,Employed,Computer Programmer,85,TN,Mount Juliet,2,40000,7096.2,0,1,1,0,26,0,FALSE,720-739,0.361,TRUE,0.361,14250,C
616,25000,25000,0.1379,0.1714,60,592,4,"$50,000-74,999",6000,Employed,Retail Management,191,NJ,Rochelle Park,2,17000,5912.86,0,0,0,0,47,0,FALSE,760-779,0.0866,TRUE,0.0866,10333.3333,B
617,5000,5000,0.0804,0.1258,36,159.09,5,"$75,000-99,999",6500,Employed,Analyst,5,WI,poynette,1,10500,0,0,0,0,0,15,0,FALSE,740-759,0.0853,TRUE,0.0853,10500,AA
618,35000,35000,0.1059,0.1386,60,771.32,5,"$75,000-99,999",6570.8333,Employed,Military Enlisted,212,WY,CHEYENNE,2,21000,0,0,0,0,0,3,0,FALSE,740-759,0.1242,TRUE,0.1242,9559.5,A
619,15000,15000,0.053,0.0795,36,458.37,4,"$50,000-74,999",4919,Other,Professional,49,TX,CROSSROADS,1,35000,0,0,0,0,0,26,0,FALSE,800-819,0.3407,TRUE,0.3407,8782,AA
620,25000,25000,0.1628,0.1969,60,625.08,6,"$100,000+",12500,Employed,Teacher,237,AZ,Winkelman,1,18000,0,0,0,0,0,7,0,FALSE,660-679,0.1279,TRUE,0.1279,23333.3333,C
621,15000,15000,0.1249,0.1712,36,508.96,4,"$50,000-74,999",4833.3333,Employed,Laborer,445,VA,Richmond,3,13750,1309.54,0,1,1,0,20,0,FALSE,720-739,0.3304,TRUE,0.3304,10250,B
622,35000,35000,0.1279,0.1611,60,810.58,4,"$50,000-74,999",5833.3333,Employed,Food Service,313,CA,Concord,1,9000,0,0,0,0,0,10,0,FALSE,700-719,0.3797,TRUE,0.3797,8000,B
