unique_identifier,listing_amount,amount_funded,lender_yield,borrower_apr,listing_term,listing_monthly_payment,income_range,income_range_description,stated_monthly_income,employment_status,employment_status_description,occupation,months_employed,borrower_state_num,borrower_state,borrower_city,prior_prosper_loans,prior_prosper_loans_principal_borrowed,prior_prosper_loans_principal_outstanding,prior_prosper_loans_balance_outstanding,prior_prosper_loans_cycles_billed,prior_prosper_loans_ontime_payments,prior_prosper_loans_late_cycles,prior_prosper_loan_earliest_pay_off,lender_indicator,group_indicator,Fico_rating,TUFicoRange,dti_wprosper_loan,CoBorrowerApplication,CombinedDtiwProsperLoan,CombinedStatedMonthlyIncome,rating_num,prosper_rating
0,17300,17300,0.1349,0.1683,60,406.95,6,"$100,000+",11250,0,Employed,Other,300,40,TX,Littlefield,2,25000,8809.62,0,1,1,0,7,0,FALSE,6,760-779,0.2377,TRUE,0.2377,16250,1,B
1,25000,25000,0.0999,0.1325,60,543.44,6,"$100,000+",15416.6667,0,Employed,Construction,32,10,HI,Ewa Beach,2,17000,0,0,0,0,0,1,0,FALSE,6,760-779,0.29,TRUE,0.29,22333.3333,0,A
2,3500,3500,0.1179,0.1641,36,117.58,4,"$50,000-74,999",4166.6667,0,Employed,Teacher,11,33,OK,Okemah,3,15000,0,0,15,15,0,0,0,FALSE,3,700-719,0.0309,TRUE,0.0309,7500,1,B
3,5000,5000,0.0964,0.1422,36,162.84,4,"$50,000-74,999",5000,0,Employed,Other,6,5,CO,AURORA,1,3000,0,0,0,0,0,24,0,FALSE,1,660-679,0.1818,TRUE,0.1818,8333.3333,0,A
4,21795,21795,0.053,0.0795,36,666.01,6,"$100,000+",20000,0,Employed,Tradesman - Electrician,57,16,LA,Sulphur,1,19000,0,0,0,0,0,30,0,FALSE,9,820-850,0.1816,TRUE,0.1816,23833.3333,0,AA
5,2000,2000,0.1279,0.1743,36,68.15,4,"$50,000-74,999",4666.6667,0,Employed,Analyst,77,12,IL,Dunlap,1,9430,0,0,0,0,0,29,0,FALSE,4,720-739,0.2104,TRUE,0.2104,8000,1,B
6,5000,5000,0.0804,0.1258,36,159.09,6,"$100,000+",20833.3333,0,Employed,Doctor,94,39,TN,Murfreesboro,2,36500,3765.83,0,0,0,0,12,0,FALSE,5,740-759,0.1603,TRUE,0.1603,28333.3333,0,AA
7,10500,10500,0.1179,0.1509,60,237.78,4,"$50,000-74,999",5833.3333,0,Employed,Tradesman - Electrician,5,8,FL,Starke,1,10000,0,0,0,0,0,21,0,FALSE,3,700-719,0.1226,TRUE,0.1226,8066.6667,1,B
8,14000,14000,0.053,0.0795,36,427.81,5,"$75,000-99,999",6250,0,Employed,Nurse (LPN),136,22,MO,Jefferson City,1,10000,0,0,0,0,0,34,0,FALSE,8,800-819,0.05,TRUE,0.05,10666.6667,0,AA
9,15000,15000,0.1379,0.1846,36,518.44,3,"$25,000-49,999",3333.3333,0,Employed,Tradesman - Plumber,5,33,OK,Edmond,1,6000,0,0,0,0,0,19,0,FALSE,3,700-719,0.1659,TRUE,0.1659,9166.6667,1,B
10,10000,10000,0.1219,0.155,60,228.5,4,"$50,000-74,999",4583.3333,0,Employed,Police Officer/Correction Officer,285,8,FL,Ocala,1,10000,0,0,4,4,0,59,0,FALSE,8,800-819,0.29,TRUE,0.29,8583.3333,1,B
11,10000,10000,0.1219,0.155,60,228.5,4,"$50,000-74,999",4583.3333,0,Employed,Police Officer/Correction Officer,285,8,FL,Ocala,1,10000,0,0,4,4,0,59,0,FALSE,8,800-819,0.3112,TRUE,0.3112,8083.3333,1,B
12,16000,16000,0.1249,0.1712,36,542.89,6,"$100,000+",13333.3333,0,Employed,Professional,124,17,MA,Marblehead,2,27401,0,0,2,2,0,27,0,FALSE,2,680-699,0.4039,TRUE,0.4039,21458.3333,1,B
13,20500,20500,0.0974,0.1432,36,668.62,6,"$100,000+",8333.3333,0,Employed,Professional,224,15,KY,Shepherdsville,3,67000,0,0,0,0,0,6,0,FALSE,3,700-719,0.2597,TRUE,0.2597,14375,0,A
14,18000,18000,0.1028,0.1354,60,393.88,4,"$50,000-74,999",5416.6667,1,Self-employed,Self Employed,317,5,CO,BTLMT MESA,3,29600,0,0,0,0,0,24,0,FALSE,5,740-759,0.2512,TRUE,0.2512,13500,0,A
15,21000,21000,0.0929,0.1254,60,449.19,5,"$75,000-99,999",7358.3333,0,Employed,Teacher,12,4,CA,San Clemente,3,17700,0,0,0,0,0,9,0,FALSE,6,760-779,0.1993,TRUE,0.1993,12400,0,A
16,5000,5000,0.235,0.2708,60,145.29,3,"$25,000-49,999",2166.6667,0,Employed,Administrative Assistant,75,44,WI,Antigo,2,5500,0,0,0,0,0,9,0,FALSE,3,700-719,0.1427,TRUE,0.1427,5916.6667,2,D
17,13000,13000,0.1249,0.1713,36,441.1,6,"$100,000+",11250,0,Employed,Teacher,238,15,KY,Lexington,2,14000,0,0,0,0,0,17,0,FALSE,3,700-719,0.1832,TRUE,0.1832,15833.3333,1,B
18,15000,15000,0.0959,0.1416,36,488.17,6,"$100,000+",9583.3333,1,Self-employed,Self Employed,220,5,CO,Leadville,3,35000,0,0,1,1,0,5,0,FALSE,3,700-719,0.1821,TRUE,0.1821,13750,0,A
19,12000,12000,0.053,0.0795,36,366.7,6,"$100,000+",16666.6667,0,Employed,Professional,52,28,NJ,South Orange,1,20000,0,0,0,0,0,16,0,FALSE,9,820-850,0.0566,TRUE,0.0566,23750,0,AA
20,20000,20000,0.1564,0.1903,60,493.19,4,"$50,000-74,999",5000,1,Self-employed,Construction,388,4,CA,Lodi,1,10000,0,0,0,0,0,5,0,FALSE,3,700-719,0.1326,TRUE,0.1326,10416.6667,1,C
21,25000,25000,0.1115,0.1444,60,558.01,6,"$100,000+",9833.3333,0,Employed,Engineer - Electrical,90,19,ME,BATH,2,42500,0,0,0,0,0,10,0,FALSE,3,700-719,0.1015,TRUE,0.1015,16333.3333,0,A
22,8000,8000,0.0894,0.135,36,257.91,4,"$50,000-74,999",5666.6667,0,Employed,Clerical,394,4,CA,Montclair,3,28200,0,0,0,0,0,16,0,FALSE,5,740-759,0.1673,TRUE,0.1673,13250,0,AA
23,11500,11500,0.0864,0.132,36,369.13,4,"$50,000-74,999",4166.6667,0,Employed,Other,34,20,MI,PORT HURON,1,10000,0,0,0,0,0,29,0,FALSE,4,720-739,0.1716,TRUE,0.1716,7500,0,AA
24,32000,32000,0.0929,0.1254,60,684.48,6,"$100,000+",11250,0,Employed,Executive,471,40,TX,NEW BRAUNFELS,1,32000,0,0,0,0,0,7,0,FALSE,8,800-819,0.3569,TRUE,0.3569,15833.3333,0,A
25,35000,35000,0.1349,0.1815,36,1204.56,3,"$25,000-49,999",3750,0,Employed,Other,18,40,TX,KERRVILLE,1,20000,0,0,0,0,0,31,0,FALSE,4,720-739,0.2902,TRUE,0.2902,12916.6667,1,B
26,15000,15000,0.2264,0.2751,36,585.66,6,"$100,000+",8333.3333,0,Employed,Other,64,4,CA,santa nella,3,35500,0,0,2,2,0,28,0,FALSE,3,700-719,0.3202,TRUE,0.3202,11250,2,D
